Designator,Mid X,Mid Y,Rotation,Layer
C1,65.0,-53.9,180.0,top
C10,46.7,-64.55,0.0,top
C2,62.25,-64.0,180.0,top
C3,62.25,-65.65,180.0,top
C4,62.25,-67.25,180.0,top
C5,62.25,-68.9,180.0,top
C6,47.3,-67.375,270.0,top
C7,45.65,-67.375,270.0,top
C8,44.05,-67.375,270.0,top
C9,42.5,-67.4,270.0,top
CN1,68.635,-61.45,90.0,top
CN2,38.535,-62.38,270.0,top
CN3,34.1775,-110.7125,270.0,top
CN4,95.8769,-110.8981,90.0,top
J1,61.915,-51.64,0.0,top
J2,49.75,-51.95,0.0,bottom
J3,53.2875,-110.7075,0.0,top
J4,33.2375,-131.3525,0.0,top
J5,76.7669,-110.9031,180.0,top
J6,96.8169,-90.2581,180.0,top
